;origin;destination;distance;mode;duration;walktime;transfers;route
495;"{""lat"": 48.825309, ""lon"": 2.492567, ""zipcode"": 94500, ""commune"": ""CHAMPIGNY SUR MARNE"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.980965, ""lon"": 2.205589, ""zipcode"": 95240, ""commune"": ""CORMEILLES EN PARISIS"", ""departement"": ""VAL-D'OISE""}";27.194796079526437;WALK,TRANSIT;6264.0;964.0;2.0;"[{""mode"": ""BUS"", ""route"": ""106"", ""agencyName"": ""RATP""}, {""mode"": ""RAIL"", ""route"": ""A"", ""agencyName"": ""RER""}, {""mode"": ""BUS"", ""route"": ""30-05"", ""agencyName"": ""Parisis""}]"
496;"{""lat"": 48.825309, ""lon"": 2.492567, ""zipcode"": 94500, ""commune"": ""CHAMPIGNY SUR MARNE"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.980965, ""lon"": 2.205589, ""zipcode"": 95240, ""commune"": ""CORMEILLES EN PARISIS"", ""departement"": ""VAL-D'OISE""}";27.194796079526437;CAR;4178.599999999999;0.0;0.0;[]
497;"{""lat"": 48.725643, ""lon"": 2.309684, ""zipcode"": 91320, ""commune"": ""WISSOUS"", ""departement"": ""ESSONE""}";"{""lat"": 48.722524, ""lon"": 2.523073, ""zipcode"": 94440, ""commune"": ""MAROLLES EN BRIE"", ""departement"": ""VAL-DE-MARNE""}";15.65671290451222;WALK,TRANSIT;6985.0;2382.0;3.0;"[{""mode"": ""BUS"", ""route"": ""399"", ""agencyName"": ""RATP""}, {""mode"": ""RAIL"", ""route"": ""D"", ""agencyName"": ""RER""}, {""mode"": ""BUS"", ""route"": ""J2"", ""agencyName"": ""STRAV""}, {""mode"": ""BUS"", ""route"": ""21"", ""agencyName"": ""Arlequin""}]"
498;"{""lat"": 48.725643, ""lon"": 2.309684, ""zipcode"": 91320, ""commune"": ""WISSOUS"", ""departement"": ""ESSONE""}";"{""lat"": 48.722524, ""lon"": 2.523073, ""zipcode"": 94440, ""commune"": ""MAROLLES EN BRIE"", ""departement"": ""VAL-DE-MARNE""}";15.65671290451222;CAR;3544.5;0.0;0.0;[]
499;"{""lat"": 49.025994, ""lon"": 2.158036, ""zipcode"": 95480, ""commune"": ""PIERRELAYE"", ""departement"": ""VAL-D'OISE""}";"{""lat"": 48.779887, ""lon"": 2.20725, ""zipcode"": 78140, ""commune"": ""VELIZY VILLACOUBLAY"", ""departement"": ""YVELINES""}";27.601255354170394;WALK,TRANSIT;5278.0;485.0;2.0;"[{""mode"": ""RAIL"", ""route"": ""C"", ""agencyName"": ""RER""}, {""mode"": ""SUBWAY"", ""route"": ""9"", ""agencyName"": ""METRO""}, {""mode"": ""BUS"", ""route"": ""40"", ""agencyName"": ""Ph\u00e9bus""}]"
500;"{""lat"": 48.760539, ""lon"": 2.47422, ""zipcode"": 94450, ""commune"": ""LIMEIL BREVANNES"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.863827, ""lon"": 2.555677, ""zipcode"": 93330, ""commune"": ""NEUILLY SUR MARNE"", ""departement"": ""SEINE-SAINT-DENIS""}";12.941605433715514;WALK,TRANSIT;4846.0;1120.0;3.0;"[{""mode"": ""BUS"", ""route"": ""23"", ""agencyName"": ""Plateau de Brie""}, {""mode"": ""RAIL"", ""route"": ""A"", ""agencyName"": ""RER""}, {""mode"": ""RAIL"", ""route"": ""A"", ""agencyName"": ""RER""}, {""mode"": ""BUS"", ""route"": ""113"", ""agencyName"": ""RATP""}]"
501;"{""lat"": 48.961452, ""lon"": 2.560882, ""zipcode"": 93290, ""commune"": ""TREMBLAY EN FRANCE"", ""departement"": ""SEINE-SAINT-DENIS""}";"{""lat"": 48.942733, ""lon"": 2.231484, ""zipcode"": 95100, ""commune"": ""ARGENTEUIL"", ""departement"": ""VAL-D'OISE""}";24.142706920739407;WALK,TRANSIT;7196.0;2256.0;3.0;"[{""mode"": ""BUS"", ""route"": ""619"", ""agencyName"": ""Seine-Saint-Denis""}, {""mode"": ""RAIL"", ""route"": ""B"", ""agencyName"": ""RER""}, {""mode"": ""RAIL"", ""route"": ""A"", ""agencyName"": ""RER""}, {""mode"": ""RAIL"", ""route"": ""J"", ""agencyName"": ""TRAIN""}]"
502;"{""lat"": 48.961452, ""lon"": 2.560882, ""zipcode"": 93290, ""commune"": ""TREMBLAY EN FRANCE"", ""departement"": ""SEINE-SAINT-DENIS""}";"{""lat"": 48.942733, ""lon"": 2.231484, ""zipcode"": 95100, ""commune"": ""ARGENTEUIL"", ""departement"": ""VAL-D'OISE""}";24.142706920739407;CAR;2896.7999999999997;0.0;0.0;[]
503;"{""lat"": 48.825735, ""lon"": 2.554269, ""zipcode"": 94350, ""commune"": ""VILLIERS SUR MARNE"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.92626, ""lon"": 2.195297, ""zipcode"": 78800, ""commune"": ""HOUILLES"", ""departement"": ""YVELINES""}";28.532891429746087;WALK,TRANSIT;5511.0;1820.0;2.0;"[{""mode"": ""BUS"", ""route"": ""207"", ""agencyName"": ""RATP""}, {""mode"": ""RAIL"", ""route"": ""A"", ""agencyName"": ""RER""}, {""mode"": ""RAIL"", ""route"": ""A"", ""agencyName"": ""RER""}]"
504;"{""lat"": 48.825735, ""lon"": 2.554269, ""zipcode"": 94350, ""commune"": ""VILLIERS SUR MARNE"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.92626, ""lon"": 2.195297, ""zipcode"": 78800, ""commune"": ""HOUILLES"", ""departement"": ""YVELINES""}";28.532891429746087;CAR;4467.599999999999;0.0;0.0;[]
505;"{""lat"": 48.884659, ""lon"": 2.160564, ""zipcode"": 78400, ""commune"": ""CHATOU"", ""departement"": ""YVELINES""}";"{""lat"": 48.836464, ""lon"": 2.44051, ""zipcode"": 75012, ""commune"": ""PARIS 12"", ""departement"": ""PARIS""}";21.168851681412917;WALK,TRANSIT;3487.0;1376.0;1.0;"[{""mode"": ""RAIL"", ""route"": ""A"", ""agencyName"": ""RER""}, {""mode"": ""SUBWAY"", ""route"": ""1"", ""agencyName"": ""METRO""}]"
